Gender,Race,MOS_Type,ranklit,sex,appdate,YearsOnJob,YearsOnJob (bins)
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,07/05/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
